timestamp,label,temp1,hum1,pres1,gas1_0,temp2,hum2,pres2,gas2_0,delta_temp,delta_hum,delta_pres,delta_gas,pred_class,pred_conf,anomaly_score,iaq
26107,Berry Burst,22.94,66.43,976.33,830326,22.29,64.74,975.1,1634803,0.65,1.69,1.22,-804477,0,0,0,9
30403,Berry Burst,24.03,63.77,976.37,826306,23.34,62.36,975.18,1598439,0.68,1.41,1.19,-388460,0,0,0,9
34719,Berry Burst,24.01,67.35,976.42,794106,23.58,65.37,975.24,1592845,0.44,1.98,1.18,-401934,0,0,0,9
39024,Berry Burst,23.57,63.17,976.38,823813,23.42,61.38,975.19,1594705,0.16,1.79,1.19,-770892,0,0,0,9
43338,Berry Burst,23.95,59.8,976.32,817402,23.73,57.31,975.15,1575385,0.23,2.49,1.18,-381414,0,0,0,9
47585,Berry Burst,24.19,59.53,976.28,821336,24.01,56.11,975.11,1559193,0.19,3.42,1.16,-371277,0,0,0,9
51885,Berry Burst,24.97,63.71,976.4,793645,24.72,60.78,975.18,1546828,0.26,2.94,1.23,-379108,0,0,0,9
56129,Berry Burst,26.18,62.01,976.48,778263,25.6,57.99,975.28,1475504,0.58,4.02,1.2,-351251,0,0,0,9
60385,Berry Burst,26.4,61.31,976.48,766037,25.85,57.11,975.31,1477101,0.55,4.19,1.16,-358096,0,0,0,9
64681,Berry Burst,26.74,66.66,976.46,740152,26.44,62.61,975.34,1451967,0.29,4.04,1.12,-358590,0,0,0,9
68987,Berry Burst,26.67,59.59,976.47,773852,26.34,57.19,975.27,1447350,0.34,2.4,1.2,-673498,0,0,0,9
73234,Berry Burst,26.98,59.72,976.51,760490,26.61,57.11,975.05,1445817,0.37,2.61,1.46,-345285,0,0,0,9
77542,Berry Burst,27.33,65.14,976.56,732999,27.05,61.8,975.23,1427675,0.28,3.34,1.33,-349917,0,0,0,9
81788,Berry Burst,26.98,65.7,976.55,736161,26.87,64.02,975.33,1433672,0.12,1.68,1.22,-351454,0,0,0,9
86044,Berry Burst,26.86,66.58,976.53,729865,26.74,64.99,975.33,1436689,0.13,1.59,1.2,-356041,0,0,0,9
